 INFO  Accepting connections at http://localhost:8099
 HTTP  10.5.2026 23:04:15 127.0.0.1 GET /
 HTTP  10.5.2026 23:04:15 127.0.0.1 Returned 200 in 182 ms
 HTTP  10.5.2026 23:04:15 127.0.0.1 GET /_expo/static/js/web/index-c1c7be417c6013b9a5c3d41f59e68123.js
 HTTP  10.5.2026 23:04:15 127.0.0.1 Returned 200 in 17 ms
 HTTP  10.5.2026 23:04:16 127.0.0.1 GET /assets/node_modules/@expo-google-fonts/fredoka/700Bold/Fredoka_700Bold.eaa34632fd156f78e16a584d1648ffcc.ttf
 HTTP  10.5.2026 23:04:16 127.0.0.1 Returned 200 in 6 ms
 HTTP  10.5.2026 23:04:16 127.0.0.1 GET /assets/assets/slinda_coin_nobg.af8a42d322d456ff319df130525a68dc.png
 HTTP  10.5.2026 23:04:16 127.0.0.1 GET /assets/assets/card-back-salinda-preview.ba8831f9f65106367f4d6c8406642687.png
 HTTP  10.5.2026 23:04:16 127.0.0.1 GET /assets/assets/salinda-transparent.5df443a5215396daaba9eb0e25c6327f.png
 HTTP  10.5.2026 23:04:16 127.0.0.1 Returned 200 in 13 ms
 HTTP  10.5.2026 23:04:16 127.0.0.1 Returned 200 in 18 ms
 HTTP  10.5.2026 23:04:16 127.0.0.1 Returned 200 in 33 ms
 HTTP  10.5.2026 23:04:17 127.0.0.1 GET /assets/assets/sounds/sfx_ui_tap.a5db4cd8648710814efaec70e2731466.wav
 HTTP  10.5.2026 23:04:17 127.0.0.1 GET /assets/assets/sounds/sfx_ui_success.c1ad8b433b3205b4bd53b9bc67d16f99.wav
 HTTP  10.5.2026 23:04:17 127.0.0.1 GET /assets/assets/sounds/sfx_ui_combo.f41d0384e284c3cd0f06e1d2a12bed5d.wav
 HTTP  10.5.2026 23:04:17 127.0.0.1 GET /assets/assets/sounds/sfx_ui_start.0eed7d4e031a5fdee55e5acdb79793a2.wav
 HTTP  10.5.2026 23:04:17 127.0.0.1 GET /assets/assets/sounds/sfx_ui_error_soft.f65f8ee1b6640793b9580d49c8e8c835.wav
 HTTP  10.5.2026 23:04:17 127.0.0.1 GET /assets/assets/sounds/sfx_ui_complete.8f5f3fc81799683eb21c318cc1747895.wav
 HTTP  10.5.2026 23:04:17 127.0.0.1 Returned 206 in 18 ms
 HTTP  10.5.2026 23:04:17 127.0.0.1 Returned 206 in 21 ms
 HTTP  10.5.2026 23:04:17 127.0.0.1 Returned 206 in 20 ms
 HTTP  10.5.2026 23:04:17 127.0.0.1 Returned 206 in 18 ms
 HTTP  10.5.2026 23:04:17 127.0.0.1 Returned 206 in 17 ms
 HTTP  10.5.2026 23:04:17 127.0.0.1 Returned 206 in 15 ms
 HTTP  10.5.2026 23:04:17 127.0.0.1 GET /assets/assets/sounds/sfx_ui_transition.096e621a551cc72c151b2b8804bde7f1.wav
 HTTP  10.5.2026 23:04:17 127.0.0.1 GET /assets/assets/sounds/sfx_meter_celebrate.f3afec125ddc3b5ed35f96a19335079c.mp3
 HTTP  10.5.2026 23:04:17 127.0.0.1 GET /assets/assets/sounds/sfx_meter_intro_custom.d2cd3ae70285d29f29a617497218300f.mp3
 HTTP  10.5.2026 23:04:17 127.0.0.1 GET /assets/assets/sounds/sfx_meter_coins_custom.f3afec125ddc3b5ed35f96a19335079c.mp3
 HTTP  10.5.2026 23:04:17 127.0.0.1 GET /assets/assets/sounds/sfx_meter_bounce.d2cd3ae70285d29f29a617497218300f.mp3
 HTTP  10.5.2026 23:04:17 127.0.0.1 GET /assets/assets/sounds/bubble_mid.d32e199f08bb715e094a60f98402343b.wav
 HTTP  10.5.2026 23:04:17 127.0.0.1 Returned 206 in 49 ms
 HTTP  10.5.2026 23:04:17 127.0.0.1 Returned 206 in 53 ms
 HTTP  10.5.2026 23:04:17 127.0.0.1 Returned 206 in 57 ms
 HTTP  10.5.2026 23:04:17 127.0.0.1 Returned 206 in 32 ms
 HTTP  10.5.2026 23:04:17 127.0.0.1 Returned 206 in 50 ms
 HTTP  10.5.2026 23:04:17 127.0.0.1 Returned 206 in 70 ms
 HTTP  10.5.2026 23:04:17 127.0.0.1 GET /assets/assets/sounds/bubble_end.baccfce54018f422c41d061f75d5b2f7.wav
 HTTP  10.5.2026 23:04:17 127.0.0.1 GET /assets/assets/sounds/sfx_game_win.b3b5246079bc14b73e7d85ff9f791156.mp3
 HTTP  10.5.2026 23:04:17 127.0.0.1 Returned 206 in 13 ms
 HTTP  10.5.2026 23:04:17 127.0.0.1 Returned 206 in 29 ms
 HTTP  10.5.2026 23:04:22 127.0.0.1 GET /assets/assets/table_green_default.290ee7e732026eabd8681e56ebf8ff6b.png
 HTTP  10.5.2026 23:04:22 127.0.0.1 Returned 200 in 8 ms
 HTTP  10.5.2026 23:04:22 127.0.0.1 GET /assets/assets/card_select.6c678882cc1c0b646a46822b812f2644.mov
 HTTP  10.5.2026 23:04:22 127.0.0.1 GET /assets/assets/sounds/7.3ca4b4cc3bbbaf760e1ef87e6399c4b5.mp3
 HTTP  10.5.2026 23:04:22 127.0.0.1 GET /assets/assets/dice_roll.ce55b5c527df549d61ab6cdf8bd24b32.m4a
 HTTP  10.5.2026 23:04:22 127.0.0.1 Returned 206 in 6 ms
 HTTP  10.5.2026 23:04:22 127.0.0.1 Returned 206 in 8 ms
 HTTP  10.5.2026 23:04:22 127.0.0.1 Returned 206 in 8 ms
 HTTP  10.5.2026 23:05:15 127.0.0.1 GET /
 HTTP  10.5.2026 23:05:15 127.0.0.1 Returned 200 in 1 ms
 HTTP  10.5.2026 23:05:15 127.0.0.1 GET /_expo/static/js/web/index-c1c7be417c6013b9a5c3d41f59e68123.js
 HTTP  10.5.2026 23:05:15 127.0.0.1 Returned 200 in 3 ms
 HTTP  10.5.2026 23:05:16 127.0.0.1 GET /assets/node_modules/@expo-google-fonts/fredoka/700Bold/Fredoka_700Bold.eaa34632fd156f78e16a584d1648ffcc.ttf
 HTTP  10.5.2026 23:05:16 127.0.0.1 Returned 200 in 4 ms
 HTTP  10.5.2026 23:05:16 127.0.0.1 GET /assets/assets/slinda_coin_nobg.af8a42d322d456ff319df130525a68dc.png
 HTTP  10.5.2026 23:05:16 127.0.0.1 Returned 200 in 2 ms
 HTTP  10.5.2026 23:05:16 127.0.0.1 GET /assets/assets/card-back-salinda-preview.ba8831f9f65106367f4d6c8406642687.png
